question,intent,entities,answer
Give information about How much is the 20L jar? today,price_query,20L Jar,The 20L refill jar costs approximately ₹40.
Please tell me Tell me the bottle prices. for business use,price_query,,The 1 liter bottle costs around ₹18.
I want to know How much is the 20L jar? quickly,price_query,20L Jar,The 1 liter bottle costs around ₹18.
Could you tell me Do you provide branded bottles? right now,branding_query,,"Yes, we provide private labeling services."
Please help me with Tell me the bottle prices. for business use,price_query,,The 20L refill jar costs approximately ₹40.
Please tell me Is the water safe to drink? in PCMC,quality_query,PCMC,Our water goes through advanced purification.
I want to know Do you deliver 20L jars? quickly,delivery_query,20L Jar,Same day delivery is available.
I want to know Do you deliver 20L jars? right now,delivery_query,20L Jar,Delivery usually takes 2 hours.
Please help me with Do you deliver 20L jars? for business use,delivery_query,20L Jar,Delivery usually takes 2 hours.
Can you explain Tell me the bottle prices. for business use,price_query,,The 1 liter bottle costs around ₹18.
Please help me with Can I get water delivery today? right now,delivery_query,,Delivery usually takes 2 hours.
Could you tell me What filtration process do you use? right now,quality_query,,We use multi-stage filtration and RO purification.
Can you explain Is your water purified? right now,quality_query,,Our water goes through advanced purification.
Can you explain How can I contact you? in PCMC,contact_query,PCMC,Please use the contact form for assistance.
Please tell me Do you have customer support? quickly,contact_query,,Please use the contact form for assistance.
Please tell me Is same day delivery available? right now,delivery_query,,Delivery usually takes 2 hours.
Can you explain How do I place an order? in Pune,contact_query,Pune,Please use the contact form for assistance.
Please tell me How do I place an order? in PCMC,contact_query,PCMC,You can contact us through our website.
Please help me with How do I place an order? for business use,contact_query,,Please use the contact form for assistance.
Please help me with Namaste right now,greeting,,Hi! How can we help you today?
Could you tell me Do you deliver 20L jars? for business use,delivery_query,20L Jar,Same day delivery is available.
Please help me with How long does delivery take? in Pune,delivery_query,Pune,"Yes, we provide delivery across Pune."
Could you tell me Is your water purified? in PCMC,quality_query,PCMC,"Yes, our water is hygienic and safe."
Can you explain What is the price of 1 liter bottle? in Pune,price_query,Pune,The 20L refill jar costs approximately ₹40.
May I know Do you offer bulk pricing? for home delivery,price_query,,The 20L refill jar costs approximately ₹40.
I want to know What is the price of 1 liter bottle? for home delivery,price_query,,The 1 liter bottle costs around ₹18.
Please help me with What is the price of 1 liter bottle? quickly,price_query,,The 20L refill jar costs approximately ₹40.
May I know How much is the 20L jar? for home delivery,price_query,20L Jar,The 1 liter bottle costs around ₹18.
Give information about How much is the 20L jar? today,price_query,20L Jar,Bulk pricing is available for large orders.
Please tell me How long does delivery take? today,delivery_query,,We deliver 20L jars and bottled water.
May I know Do you deliver 20L jars? today,delivery_query,20L Jar,We deliver 20L jars and bottled water.
May I know Tell me the bottle prices. today,price_query,,Bulk pricing is available for large orders.
I want to know Is support available? in Pune,greeting,Pune,Hello! Welcome to Gagangiri Foods.
I want to know Is your water purified? quickly,quality_query,,"Yes, our water is hygienic and safe."
Could you tell me Do you print logos on bottles? in Pune,branding_query,Pune,"Yes, we provide private labeling services."
Please help me with Do you offer bulk pricing? in Pune,price_query,Pune,The 20L refill jar costs approximately ₹40.
Can you explain Is same day delivery available? in Pune,delivery_query,Pune,Delivery usually takes 2 hours.
May I know Is your water purified? quickly,quality_query,,"Yes, our water is hygienic and safe."
Give information about Hey in Pune,greeting,Pune,Hello! Welcome to Gagangiri Foods.
Please tell me Hello today,greeting,,Welcome to our AI assistant.
Please help me with Do you offer bulk pricing? for business use,price_query,,The 1 liter bottle costs around ₹18.
I want to know Do you print logos on bottles? for business use,branding_query,,"Yes, we provide private labeling services."
Could you tell me Good morning right now,greeting,,Welcome to our AI assistant.
Could you tell me How can I contact you? right now,contact_query,,Customer support is available during business hours.
I want to know Can I call for orders? for business use,contact_query,,You can contact us through our website.
I want to know Do you provide branded bottles? today,branding_query,,Custom branding is available for bulk orders.
Give information about Can I get water delivery today? quickly,delivery_query,,Delivery usually takes 2 hours.
Can you explain Do you use RO filtration? right now,quality_query,,We use multi-stage filtration and RO purification.
Could you tell me Do you use RO filtration? in Pune,quality_query,Pune,"Yes, our water is hygienic and safe."
I want to know Do you deliver 20L jars? in PCMC,delivery_query,"PCMC, 20L Jar","Yes, we provide delivery across Pune."
Could you tell me Do you have customer support? quickly,contact_query,,You can contact us through our website.
Give information about How can I contact you? in PCMC,contact_query,PCMC,Please use the contact form for assistance.
Give information about Can I call for orders? in PCMC,contact_query,PCMC,You can contact us through our website.
Could you tell me How much is the 20L jar? for business use,price_query,20L Jar,Bulk pricing is available for large orders.
Can you explain What is the price of 1 liter bottle? for business use,price_query,,The 1 liter bottle costs around ₹18.
I want to know Tell me the bottle prices. in PCMC,price_query,PCMC,The 20L refill jar costs approximately ₹40.
Please help me with Tell me the bottle prices. for business use,price_query,,The 1 liter bottle costs around ₹18.
Can you explain How long does delivery take? right now,delivery_query,,We deliver 20L jars and bottled water.
Please help me with What filtration process do you use? quickly,quality_query,,We use multi-stage filtration and RO purification.
